from_totally_fake_account,total_amount
1000.0,28698.510000000235
1002.0,15622.969999999998
1006.0,18778.19000000003
1018.0,15612.209999999994
1053.0,19444.57000000001
1059.0,17491.449999999993
1071.0,13505.419999999982
1078.0,14967.26999999999
1086.0,20213.62
1087.0,15920.139999999983
1113.0,12201.899999999989
1120.0,18942.52000000003
1122.0,30817.08000000006
1125.0,14925.599999999975
1133.0,23130.41000000005
1142.0,15215.21999999999
1174.0,15780.559999999998
1179.0,30291.95000000007
1180.0,31809.930000000073
1186.0,17534.06999999998
1189.0,18691.570000000003
1210.0,15048.08999999998
1214.0,36558.28000000023
1217.0,17761.23
1234.0,26717.820000000018
1255.0,18674.440000000013
1258.0,19717.21000000001
1299.0,24134.820000000065
1304.0,31522.28000000002
1309.0,34164.46000000008
1323.0,16983.170000000006
1357.0,15621.549999999985
1382.0,18663.40000000002
1393.0,16608.499999999985
1399.0,33736.68000000007
1433.0,21439.700000000026
1443.0,18773.02
1460.0,16453.03999999996
1471.0,32839.55000000004
1487.0,15946.670000000004
1489.0,25771.44000000001
1490.0,31755.630000000197
1505.0,16770.62
1507.0,23009.930000000135
1529.0,17305.16000000001
1563.0,19398.02000000004
1569.0,20296.270000000066
1572.0,20128.540000000023
1596.0,17544.31
1607.0,33225.22000000023
1615.0,31709.910000000073
1622.0,16835.56000000001
1623.0,36269.10000000008
1631.0,17550.699999999975
1634.0,31967.59000000001
1639.0,20325.230000000014
1642.0,23802.770000000117
1644.0,16756.549999999996
1661.0,23325.92999999999
1675.0,30632.740000000038
1689.0,32778.180000000066
1697.0,17459.559999999983
1703.0,21961.06000000011
1715.0,21646.280000000024
1717.0,29207.100000000064
1718.0,33306.65000000001
1730.0,15726.689999999944
1736.0,17135.689999999984
1757.0,17928.990000000005
1784.0,23255.01
1786.0,29889.970000000056
1793.0,18294.55
1799.0,20347.129999999997
1800.0,14413.509999999987
1808.0,23023.57000000012
1815.0,18166.630000000012
1823.0,33277.730000000265
1827.0,22726.240000000013
1828.0,16274.789999999988
1835.0,14682.65999999998
1838.0,20106.800000000014
1908.0,33626.640000000014
1910.0,19269.420000000016
1931.0,18288.910000000018
1990.0,22465.03000000001
2004.0,16821.179999999997
2019.0,28724.67000000005
2029.0,21083.55000000002
2030.0,29651.97000000007
2035.0,27124.660000000033
2044.0,14818.219999999994
2069.0,33665.23000000002
2071.0,32943.19000000028
2076.0,35564.20000000023
2090.0,17044.519999999993
2097.0,14900.13999999998
2100.0,18969.940000000035
2108.0,22089.860000000117
2116.0,14102.759999999922
2126.0,19806.16000000001
2137.0,17533.36
2152.0,13922.74999999998
2171.0,32269.080000000078
2182.0,28669.10000000007
2211.0,17311.559999999994
2213.0,20224.690000000002
2214.0,20603.910000000007
2236.0,20731.140000000054
2249.0,17870.680000000008
2258.0,19982.120000000014
2260.0,17847.369999999995
2274.0,18249.740000000005
2288.0,16508.659999999996
2294.0,32773.80000000022
2306.0,19221.160000000014
2308.0,35890.96000000006
2315.0,22214.150000000012
2331.0,34855.82000000021
2369.0,32209.190000000082
2387.0,19485.300000000014
2390.0,22784.38000000007
2430.0,31815.870000000228
2440.0,17761.12
2446.0,14235.41
2486.0,28395.530000000046
2487.0,18175.210000000003
2493.0,17378.369999999995
2518.0,24575.840000000142
2528.0,33069.21000000005
2538.0,27277.30000000006
2574.0,14384.519999999991
2580.0,32656.870000000225
2585.0,32061.860000000088
2632.0,17025.609999999975
2641.0,25033.400000000187
2647.0,33884.86000000017
2663.0,20666.820000000054
2666.0,19717.020000000004
2677.0,19489.510000000013
2710.0,24874.24
2711.0,19016.85000000004
2719.0,23375.320000000047
2760.0,20054.650000000045
2767.0,16956.579999999958
2771.0,36952.71000000024
2778.0,23477.750000000186
2779.0,25135.130000000157
2795.0,36172.510000000104
2817.0,14928.119999999968
2838.0,30309.85000000001
2844.0,23568.540000000015
2852.0,18549.720000000016
2854.0,32613.780000000057
2858.0,30834.33000000008
2862.0,32288.65000000028
2876.0,11854.069999999996
2881.0,31298.910000000065
2888.0,20445.410000000007
2895.0,34191.69000000008
2910.0,28651.00000000005
2984.0,18103.800000000007
2987.0,17553.370000000003
2997.0,17400.910000000003
3017.0,21152.340000000022
3045.0,18638.03000000001
3048.0,35731.58000000008
3070.0,19094.110000000015
3083.0,14990.199999999999
3093.0,21942.750000000036
3102.0,30216.650000000005
3107.0,21542.810000000016
3109.0,27240.350000000057
3142.0,21960.290000000026
3143.0,20784.88000000009
3145.0,22449.680000000026
3158.0,28444.96000000005
3217.0,16702.239999999987
3226.0,33912.790000000285
3237.0,34269.690000000046
3241.0,30909.21000000008
3252.0,21059.67000000001
3269.0,16837.25999999998
3285.0,18988.48000000001
3287.0,33616.300000000054
3291.0,34540.30000000002
3296.0,23500.660000000134
3317.0,15717.309999999947
3329.0,19557.82000000002
3362.0,30569.910000000084
3378.0,25491.840000000004
3381.0,13336.64
3395.0,17434.309999999998
3402.0,20429.340000000007
3417.0,31733.330000000005
3431.0,20408.930000000026
3456.0,33398.08000000028
3458.0,41919.88000000027
3465.0,36239.600000000086
3472.0,21078.79000000003
3498.0,25300.990000000176
3512.0,35466.66000000007
3521.0,14514.399999999994
3559.0,17762.959999999977
3575.0,35033.42000000008
3577.0,17419.799999999992
3580.0,17397.369999999963
3582.0,17737.109999999997
3599.0,30014.090000000244
3602.0,24630.090000000015
3615.0,20885.330000000024
3634.0,18177.609999999993
3638.0,17695.739999999994
3642.0,13509.82999999999
3650.0,14462.289999999983
3675.0,18291.980000000003
3694.0,16957.629999999994
3704.0,31744.490000000056
3712.0,34334.19000000002
3765.0,16636.660000000007
3776.0,32095.229999999992
3786.0,34324.300000000054
3795.0,15937.89999999999
3800.0,21162.590000000026
3822.0,16894.21999999998
3838.0,30390.99000000008
3868.0,21718.130000000103
3880.0,17396.75000000001
3890.0,19348.630000000067
3896.0,24500.200000000055
3905.0,16019.579999999994
3907.0,17261.240000000005
3934.0,22410.740000000005
3939.0,22337.700000000114
3958.0,14586.51
3970.0,28414.190000000053
3994.0,29117.390000000003
4009.0,15979.489999999969
4018.0,23799.980000000003
4021.0,20080.020000000084
4044.0,23234.480000000163
4047.0,13610.199999999986
4081.0,28706.880000000067
4083.0,31567.390000000007
4106.0,34062.190000000024
4107.0,20105.20000000003
4125.0,28881.43000000019
4141.0,22989.570000000054
4142.0,32792.850000000064
4148.0,32158.420000000213
4154.0,25783.13000000005
4171.0,12692.849999999999
4177.0,17072.81
4206.0,33653.570000000276
4212.0,15566.449999999988
4230.0,15020.61
4239.0,34687.68000000007
4265.0,22582.130000000077
4276.0,20914.14000000002
4279.0,25841.90000000016
4301.0,16424.039999999994
4305.0,19456.800000000032
4309.0,35887.52000000007
4313.0,32840.07000000028
4324.0,16299.869999999983
4336.0,16544.219999999987
4343.0,16982.670000000006
4386.0,17852.829999999998
4403.0,17756.179999999993
4416.0,13757.199999999946
4428.0,14531.779999999979
4463.0,19614.08
4465.0,28244.18000000023
4490.0,33763.730000000076
4494.0,19863.41000000003
4497.0,21225.210000000006
4498.0,31654.950000000063
4511.0,20528.799999999992
4516.0,15816.279999999942
4518.0,17162.30999999999
4526.0,29924.9100000002
4548.0,32166.850000000053
4549.0,19852.230000000018
4555.0,18050.87000000001
4558.0,31648.710000000236
4559.0,11359.87999999999
4571.0,32430.680000000055
4572.0,19316.220000000027
4585.0,17842.94000000002
4614.0,20009.27
4621.0,16263.049999999977
4623.0,16718.54999999996
4651.0,14385.709999999983
4655.0,28475.59000000007
4686.0,21364.51000000002
4690.0,34624.93000000004
4691.0,24475.830000000027
4695.0,21722.110000000033
4697.0,34008.800000000265
4708.0,13994.689999999997
4710.0,20585.36000000004
4717.0,22167.130000000005
4731.0,30578.300000000236
4739.0,15381.719999999985
4754.0,16872.38000000001
4759.0,22952.830000000045
4767.0,17304.529999999988
4809.0,22944.8400000001
4815.0,20066.480000000025
4818.0,16484.280000000002
4819.0,20783.06000000001
4820.0,19975.090000000007
4823.0,19818.890000000018
4824.0,34096.64000000025
4832.0,20657.470000000038
4837.0,29788.250000000055
4838.0,25445.17000000005
4840.0,21297.109999999993
4861.0,16217.669999999995
4871.0,17905.630000000005
4875.0,33462.210000000094
4888.0,29943.500000000247
4898.0,11065.199999999959
4903.0,18312.64999999999
4905.0,34333.720000000096
4930.0,17879.360000000008
4931.0,30499.450000000023
4955.0,32424.850000000082
4958.0,38410.66000000025
4976.0,14982.289999999992
4993.0,30145.25000000007
5001.0,29891.760000000228
5039.0,26891.460000000054
5057.0,12880.759999999995
5058.0,18337.879999999986
5063.0,16297.529999999977
5068.0,28328.33000000006
5093.0,15918.299999999983
5108.0,23024.5100000001
5119.0,30524.11000000011
5127.0,11078.699999999988
5164.0,22042.000000000036
5167.0,15542.420000000004
5173.0,19231.989999999998
5174.0,19303.80000000005
5180.0,15693.459999999997
5198.0,12861.270000000002
5200.0,18080.589999999997
5215.0,19360.340000000004
5219.0,26581.850000000046
5222.0,24525.840000000047
5237.0,13799.099999999977
