to_randomly_generated_account,total_amount
1000,9021.599999999999
10000,1208.0
100000,1367.4499999999998
100002,1045.4
100019,14199.95
100021,874.8499999999999
100023,10566.5
100027,740.27
10004,607.1999999999998
100053,10341.17
100056,849.1599999999999
100060,1232.37
100064,837.75
100065,519.0
100083,2530.3199999999993
100086,913.65
100094,515.5
100098,689.7
100105,3581.35
100115,1362.8500000000001
100120,962.2399999999999
100126,1063.8
10013,1302.6000000000001
100137,705.0
100138,1360.15
100140,991.6499999999999
100142,966.55
100144,1115.9099999999999
100153,1150.0
100155,962.5500000000001
100159,954.0999999999999
100163,3988.05
100165,1060.43
100166,18775.15
100169,1206.0100000000002
100171,1154.7
100175,298984.5
100186,1348.6599999999999
100197,2138.7000000000003
100198,354.05
1002,1434.6800000000003
10021,722.65
100214,1512.51
100217,1164.05
100219,614.2999999999998
100223,19062.58000000001
100224,1367.25
100228,693.5
100233,1448.13
100250,7924.5
100261,1641.3
100264,16206.680000000002
100273,703.7
100274,922.6
100275,1166.5
100280,996.28
100282,1065.14
100295,822.9499999999999
100297,1708.2000000000003
10030,1049.75
100300,719.85
100301,1583.48
100302,11223.5
100305,1227.12
100324,1231.6499999999999
100338,772.45
100348,1022.65
100368,1494.1100000000001
100373,457.5
100376,15357.7
100385,1150.63
100401,1319.69
100420,967.0499999999998
100423,1101.8799999999999
100445,1055.4
100446,794.45
100455,1362.45
100466,729.15
100472,647.0
100478,990.85
100480,636.8100000000001
100483,16767.189999999995
100488,10265.45
100489,685.05
100493,1391.09
100517,978.1
100537,1046.4899999999998
100541,1486.7599999999995
100546,3791.66
100568,1249.2000000000003
100569,12501.799999999997
100570,132.0
100572,1076.94
100573,888.0999999999999
100583,597.55
100593,18187.5
100595,722.7
100599,1325.4
1006,579.5
100600,1167.48
100608,1432.45
100611,303.0
100613,8106.409999999999
100614,1099.0
100617,1265.38
100618,1015.73
10062,1576.0099999999998
100620,385.24999999999994
100621,1194.35
100622,9771.450000000003
100625,13646.17
100635,517.0
100636,1259.81
100640,1166.2999999999997
100645,8488.45
100656,1379.95
100658,1577.5700000000004
100662,839.3000000000002
100664,1355.6400000000003
100687,11804.46
100688,17673.93
100690,1400.7800000000004
100694,661.55
100703,492.0
100708,2219.2400000000002
100709,751.9499999999999
