from_totally_fake_account,to_randomly_generated_account,total_amount,frequency
1000.0,16354,315.39999999999986,55
1000.0,18013,86.5,14
1000.0,30208,35.0,6
1000.0,31489,16130.0,12
1000.0,36647,5.0,1
1000.0,38289,94.0,14
1000.0,41117,24.0,5
1000.0,41718,79.0,14
1000.0,47421,6.5,1
1000.0,50340,110.5,18
1000.0,51051,107.45,21
1000.0,53678,5.5,1
1000.0,5403,164.0,27
1000.0,55738,316.45,53
1000.0,56140,94.0,17
1000.0,64760,115.7,24
1000.0,72221,109.5,17
1000.0,77084,89.5,17
1000.0,82399,96.2,18
1000.0,82909,174.35,32
1000.0,93247,54.5,8
1002.0,11559,54.5,8
1002.0,17310,544.6999999999998,80
1002.0,2213,140.0,21
1002.0,22549,50.0,7
1002.0,23010,4126.75,34
1002.0,23981,39.0,7
1002.0,33124,50.0,1
1002.0,33661,53.0,7
1002.0,35302,16.5,3
1002.0,35806,45.5,6
1002.0,37260,76.5,14
1002.0,39676,29.5,6
1002.0,5280,37.75,8
1002.0,54469,30.45,6
1002.0,55904,122.3,20
1002.0,57878,284.64,34
1002.0,68609,22.5,4
1002.0,74646,393.42,40
1002.0,78430,75.05,6
1002.0,78551,35.0,6
1002.0,83683,15.5,3
1002.0,97659,24.0,4
1002.0,99578,170.24,22
1002.0,99624,30.5,5
1006.0,12259,60.9,12
1006.0,17379,69.0,10
1006.0,43700,76.7,13
1006.0,48797,34.0,6
1006.0,5057,85.0,15
1006.0,6536,22.5,4
1006.0,73371,235.5,40
1006.0,74704,166.5,28
1006.0,7540,191.95,35
1006.0,80697,5.5,1
1006.0,80751,2603.15,39
1006.0,83715,253.0,45
1006.0,85824,142.5,21
1006.0,86319,67.0,11
1006.0,96807,49.5,8
1018.0,11822,3564.0,12
1018.0,13226,80.5,12
1018.0,15145,57.0,8
1018.0,23909,50.0,1
1018.0,33124,50.0,1
1018.0,41000,79.1,13
1018.0,45331,55.25,10
1018.0,50515,106.85,16
1018.0,53494,52.0,7
1018.0,55352,73.0,13
1018.0,6568,140.0,25
1053.0,100275,66.45,13
1053.0,17300,122.95,22
1053.0,27796,238.45,38
1053.0,30397,73.0,13
1053.0,33124,100.0,2
1053.0,34461,25.0,4
1053.0,41621,61.5,10
1053.0,49267,148.9,22
1053.0,54224,15.0,3
1053.0,57069,4507.0,26
1053.0,57288,82.5,12
1053.0,5889,239.0,36
1053.0,65023,102.0,17
1053.0,66597,23.5,4
1053.0,73456,9.0,2
1053.0,73562,37.0,6
1053.0,75532,66.35000000000001,15
1053.0,75853,200.0,30
1053.0,8454,25.0,4
1053.0,85508,50.5,7
1053.0,90400,17.5,3
1053.0,95707,94.75,18
1059.0,21962,76.0,13
1059.0,22550,88.5,15
1059.0,25015,112.65,18
1059.0,2987,94.0,16
1059.0,31354,78.0,12
1059.0,44011,41.5,7
1059.0,45432,322.9500000000001,38
1059.0,56873,55.5,8
1059.0,58813,28.5,4
1059.0,59300,81.5,15
1059.0,64099,42.0,7
1059.0,6900,85.0,14
1059.0,70827,462.97,48
1059.0,74723,386.17,44
1059.0,76169,84.5,14
1059.0,82257,4709.12,48
1059.0,87459,12.5,2
1059.0,87595,20.5,3
1071.0,11456,15.5,3
1071.0,11765,32.0,6
1071.0,22917,49.5,9
1071.0,30622,3.7,2
1071.0,34075,21.5,4
1071.0,40407,39.5,7
1071.0,41093,122.0,21
1071.0,44635,3435.55,16
1071.0,49927,62.15000000000001,14
1071.0,55787,36.0,6
1071.0,7073,35.5,6
1071.0,71028,8.0,5
1071.0,71156,30.8,6
1071.0,76951,2.15,1
1071.0,80580,150.5,22
1071.0,85119,34.5,6
1071.0,98031,62.0,9
1078.0,11197,78.0,12
1078.0,11230,70.5,11
1078.0,12781,110.5,16
1078.0,37249,217.5,34
1078.0,44563,104.0,16
1078.0,4775,102.5,16
1078.0,4898,302.35,52
1078.0,55295,240.7,40
1078.0,64827,99.3,16
1086.0,100662,34.6,9
1086.0,15347,71.4,5
1086.0,16616,65.5,11
1086.0,17582,52.5,8
1086.0,22550,15.5,3
1086.0,33124,50.0,1
1086.0,33266,3986.0,21
1086.0,36380,36.0,6
1086.0,3970,49.5,6
1086.0,42497,2.65,1
1086.0,45432,58.5,10
1086.0,52704,54.65,9
1086.0,56873,48.1,9
1086.0,57542,40.5,6
1086.0,64099,62.5,9
1086.0,67856,60.7,10
1086.0,75924,55.5,9
1086.0,85378,16.31,1
1086.0,97460,22.0,4
1087.0,13023,224.5,36
1087.0,21725,62.0,9
1087.0,23776,69.15,11
1087.0,33155,52.0,9
1087.0,34874,265.0,40
1087.0,40382,29.5,4
1087.0,46350,44.0,6
1087.0,49153,141.35,25
1087.0,52122,85.05000000000003,14
1087.0,64196,28.5,6
1087.0,69698,171.0,31
1087.0,79033,121.0,18
1087.0,80492,53.05,9
1087.0,81094,3949.5,41
1087.0,82687,61.4,13
1087.0,86503,233.1,38
1087.0,92175,21.0,3
1087.0,95719,58.5,10
1087.0,96412,366.95,54
1087.0,9804,20.0,3
1113.0,10881,50.5,7
1113.0,11464,288.5,47
1113.0,11545,30.0,5
1113.0,14577,38.5,7
1113.0,21643,63.0,8
1113.0,37884,57.0,9
1113.0,48039,65.0,9
1113.0,53310,182.8,29
1113.0,60703,58.0,10
1113.0,64671,393.0,67
1113.0,76511,50.0,9
1113.0,80526,77.5,13
1113.0,84184,279.0,45
1113.0,97873,65.5,9
1120.0,20339,155.15,25
1120.0,23456,163.0,26
1120.0,25306,5.3,2
1120.0,48095,52.4,2
1120.0,53795,1.45,1
1120.0,56254,7769.44,42
1122.0,33124,50.0,1
1122.0,40837,108.8,17
1122.0,45917,331.45,58
1122.0,4861,18330.0,12
1122.0,49850,126.85,21
1122.0,79108,430.5,75
1122.0,87679,473.45,82
1125.0,10451,99.0,17
1125.0,10887,3714.64,40
1125.0,16357,83.0,15
1125.0,34055,55.5,9
1125.0,37535,429.39,55
1125.0,38086,261.97,28
1125.0,53271,20.5,3
1125.0,63923,522.72,48
1125.0,74400,130.0,20
1125.0,82765,120.0,20
1125.0,85221,70.45,12
1133.0,100083,34.5,6
1133.0,35168,10312.79,18
1133.0,46556,53.0,8
1133.0,46796,40.13,6
1133.0,47440,44.0,8
1133.0,55404,48.9,10
1133.0,5650,35.5,6
1133.0,60237,131.41,12
1133.0,80149,124.2,22
1133.0,82614,61.9,12
1133.0,82648,48.0,8
1133.0,85023,80.0,14
1142.0,10096,473.39999999999986,57
1142.0,13285,191.5,30
1142.0,20649,64.5,10
1142.0,23819,23.5,4
1142.0,27135,69.55,12
1142.0,31650,179.7,30
1142.0,35238,109.5,17
1142.0,36291,6.5,1
1142.0,36638,19.0,3
1142.0,39132,58.0,11
1142.0,40309,38.0,7
1142.0,49536,16.5,3
1142.0,52223,93.5,15
1142.0,6892,94.0,16
1142.0,7143,210.08,16
1142.0,74831,61.5,11
1142.0,89999,3871.18,46
1142.0,90932,57.5,11
1142.0,98373,36.0,4
1142.0,99405,186.7,33
1142.0,99963,335.05,47
1174.0,100875,42.0,6
1174.0,11096,42.25,9
1174.0,12555,59.0,9
1174.0,22148,340.88,42
1174.0,25080,47.0,7
1174.0,37596,102.8,21
1174.0,39860,390.65,59
1174.0,47699,68.0,11
1174.0,49225,308.05,39
1174.0,52621,167.4,28
1174.0,55112,87.95,16
1174.0,60137,4642.14,46
1174.0,68656,32.0,6
1174.0,83082,198.5,31
1174.0,98263,289.33,37
1179.0,16594,182.5,31
1179.0,20435,130.10000000000002,22
1179.0,25711,65.9,13
1179.0,27035,91.5,14
1179.0,30445,124.0,21
1179.0,35691,59.0,10
1179.0,37083,76.5,11
1179.0,4018,159.0,25
1179.0,44888,52.0,9
1179.0,47027,53.5,9
1179.0,57645,167.25,30
1179.0,60371,73.0,12
1179.0,63569,35.0,6
1179.0,63960,71.0,13
1179.0,7917,148.0,26
1179.0,81734,241.35,36
1179.0,8419,90.5,16
1179.0,88876,54.0,8
1179.0,9064,13898.5,38
1179.0,92973,181.35,32
1180.0,4239,113.7,19
1180.0,49704,184.47,29
1180.0,50011,130.0,22
1180.0,51116,94.5,14
1180.0,73435,74.5,13
1180.0,7455,14930.0,12
1180.0,79148,524.8199999999998,80
1180.0,83557,202.2,37
1180.0,85144,218.0,39
1180.0,91844,67.5,11
1180.0,94441,76.0,12
1186.0,10240,293.45,53
1186.0,10764,127.0,22
1186.0,27655,110.5,13
1186.0,32197,186.25000000000003,38
1186.0,32603,83.0,12
1186.0,32737,379.7,62
1186.0,33124,50.0,1
1186.0,45068,115.0,18
1186.0,53674,107.65,18
1186.0,54670,89.65,16
1186.0,63705,178.5,32
1189.0,13047,277.22,44
1189.0,25390,57.0,11
1189.0,30087,30.0,5
1189.0,39037,145.0,24
1189.0,43295,38.0,6
1189.0,44743,79.5,13
1189.0,46626,182.82,26
1189.0,46675,89.0,15
1189.0,46977,117.0,20
1189.0,4815,281.44,48
1189.0,50784,252.0,45
1189.0,51972,36.55,8
1189.0,52186,2469.3,33
1189.0,54417,75.0,13
1189.0,56067,30.5,5
1189.0,60709,155.0,28
1189.0,63803,77.0,12
1189.0,67897,53.0,9
1189.0,79242,38.6,8
1189.0,80667,103.79,12
1189.0,86803,116.5,19
1189.0,86969,88.0,13
1189.0,90502,95.8,16
1189.0,97523,111.0,17
1210.0,100480,69.5,13
1210.0,15088,184.4,32
1210.0,24368,180.55,31
1210.0,27606,59.5,9
1210.0,37074,61.5,11
1210.0,53137,6670.11,60
1210.0,69670,313.4,53
1210.0,96205,127.45,23
1210.0,9916,83.5,15
1214.0,100171,116.5,17
1214.0,11630,266.0,46
1214.0,25646,26.5,5
1214.0,28479,276.0,43
1214.0,41181,136.0,21
1214.0,51342,34.0,6
1214.0,62378,189.45,34
1214.0,72374,92.0,15
1214.0,75016,103.0,17
1214.0,78426,106.0,18
1214.0,78470,16625.0,12
1214.0,83818,90.0,16
1214.0,95924,45.0,8
1217.0,16234,349.0,52
1217.0,22425,250.9,47
1217.0,30101,2970.0,46
1217.0,33124,50.0,1
1217.0,45334,73.0,13
1217.0,4686,293.0,51
1217.0,50372,66.2,12
1217.0,64011,59.6,13
1217.0,73770,114.1,20
1217.0,89249,101.0,15
1217.0,96595,300.5,43
1217.0,99812,422.75,68
1234.0,13270,61.5,8
1234.0,19001,16.0,3
1234.0,21476,54.5,10
1234.0,23033,83.0,15
1234.0,25793,352.72,45
1234.0,35429,10500.6,107
1234.0,38461,77.65,13
1234.0,49480,107.25,17
1234.0,58055,31.5,6
1234.0,66931,77.7,12
1234.0,67399,193.8,34
1234.0,6910,185.25,34
1234.0,83507,29.5,5
1234.0,84858,69.25,6
1234.0,87355,45.0,7
1234.0,96321,47.5,8
1234.0,9642,71.0,10
1255.0,10571,56.0,9
1255.0,24043,174.8,22
