from_totally_fake_account,total_transactions,total_amount_spent,transactions_quintile,amount_quintile,transactions_level,amount_level,activity_score
21006.0,2088,33080.64,5,5,High,High,5.0
61871.0,1735,35324.41,5,5,High,High,5.0
75396.0,1810,34238.7,5,5,High,High,5.0
47070.0,1705,37709.37,5,5,High,High,5.0
92091.0,1931,39152.17,5,5,High,High,5.0
75552.0,1886,37703.09,5,5,High,High,5.0
62073.0,1695,31492.76,5,5,High,High,5.0
91719.0,1899,32348.12,5,5,High,High,5.0
47306.0,1837,32773.91,5,5,High,High,5.0
24803.0,1826,32841.46,5,5,High,High,5.0
7058.0,2244,32540.83,5,5,High,High,5.0
7072.0,1606,33895.07,5,5,High,High,5.0
47309.0,1752,40502.58,5,5,High,High,5.0
91520.0,2056,37626.74,5,5,High,High,5.0
75868.0,1909,30915.72,5,5,High,High,5.0
24753.0,1637,36553.07,5,5,High,High,5.0
17089.0,1921,32231.46,5,5,High,High,5.0
75338.0,1722,34841.43,5,5,High,High,5.0
55561.0,1847,32812.33,5,5,High,High,5.0
33942.0,2127,35004.39,5,5,High,High,5.0
46986.0,1668,32667.18,5,5,High,High,5.0
75254.0,1620,30727.68,5,5,High,High,5.0
75231.0,1876,32932.23,5,5,High,High,5.0
46911.0,1719,34287.6,5,5,High,High,5.0
6406.0,1601,35746.29,5,5,High,High,5.0
46835.0,1707,34553.090000000004,5,5,High,High,5.0
46802.0,1890,32136.13,5,5,High,High,5.0
62407.0,1663,35208.66,5,5,High,High,5.0
62485.0,1829,33158.17,5,5,High,High,5.0
92614.0,1927,30718.17,5,5,High,High,5.0
34144.0,1900,32096.81,5,5,High,High,5.0
46727.0,2304,37988.78,5,5,High,High,5.0
92768.0,1696,32627.72,5,5,High,High,5.0
76022.0,2089,35398.73,5,5,High,High,5.0
76369.0,1744,35572.49,5,5,High,High,5.0
95936.0,1765,40107.6,5,5,High,High,5.0
48529.0,1628,32717.79,5,5,High,High,5.0
61127.0,1926,34264.99,5,5,High,High,5.0
77120.0,1664,34470.46,5,5,High,High,5.0
32955.0,1665,31121.0,5,5,High,High,5.0
48323.0,1636,34735.05,5,5,High,High,5.0
7979.0,1694,32201.88,5,5,High,High,5.0
60964.0,1668,32604.92,5,5,High,High,5.0
48791.0,1643,31988.95,5,5,High,High,5.0
24815.0,2089,33943.52,5,5,High,High,5.0
60846.0,1897,32149.57,5,5,High,High,5.0
48872.0,1810,31101.27,5,5,High,High,5.0
32541.0,1957,35883.41,5,5,High,High,5.0
16007.0,1966,34458.14,5,5,High,High,5.0
