from_totally_fake_account,monetary,frequency,recency,R_score,F_score,M_score,R Compare,F Compare,M Compare,Category
1000.0,28698.51,1710,0,5,5,4,high,high,high,important value customers
1002.0,15622.97,1043,0,5,2,1,high,low,low,General development users
1006.0,18778.19,1841,0,5,5,2,high,high,low,General value customers
1018.0,15612.21,805,1,4,1,1,low,low,low,General recall of customers
1053.0,19444.57,1319,0,5,4,2,high,high,low,General value customers
1059.0,17491.45,1004,0,5,2,2,high,low,low,General development users
1071.0,13505.42,930,0,5,1,1,high,low,low,General development users
1078.0,14967.27,958,0,5,2,1,high,low,low,General development users
1086.0,20213.62,1210,0,5,3,3,high,low,low,General development users
1087.0,15920.14,1703,0,5,5,1,high,high,low,General value customers
1113.0,12201.9,983,0,5,2,1,high,low,low,General development users
1120.0,18942.52,1001,0,5,2,2,high,low,low,General development users
1122.0,30817.08,938,1,4,1,5,low,low,high,Important customer recall
1125.0,14925.6,923,0,5,1,1,high,low,low,General development users
1133.0,23130.41,1170,0,5,3,4,high,low,high,Important development customers
1142.0,15215.22,906,1,4,1,1,low,low,low,General recall of customers
1174.0,15780.56,1084,0,5,2,1,high,low,low,General development users
1179.0,30291.95,1162,0,5,3,4,high,low,high,Important development customers
1180.0,31809.93,1185,0,5,3,5,high,low,high,Important development customers
1186.0,17534.07,1068,0,5,2,2,high,low,low,General development users
1189.0,18691.57,1282,0,5,4,2,high,high,low,General value customers
1210.0,15048.09,837,0,5,1,1,high,low,low,General development users
1214.0,36558.28,1589,0,5,4,5,high,high,high,important value customers
1217.0,17761.23,895,4,1,1,2,low,low,low,General recall of customers
1234.0,26717.82,952,0,5,1,4,high,low,high,Important development customers
1255.0,18674.44,1048,1,4,2,2,low,low,low,General recall of customers
1258.0,19717.21,1093,0,5,3,3,high,low,low,General development users
1299.0,24134.82,1196,0,5,3,4,high,low,high,Important development customers
1304.0,31522.28,1194,1,4,3,5,low,low,high,Important customer recall
1309.0,34164.46,1180,0,5,3,5,high,low,high,Important development customers
1323.0,16983.17,1163,1,4,3,2,low,low,low,General recall of customers
1357.0,15621.55,1002,0,5,2,1,high,low,low,General development users
1382.0,18663.4,1219,2,3,3,2,low,low,low,General recall of customers
1393.0,16608.5,903,0,5,1,1,high,low,low,General development users
1399.0,33736.68,974,0,5,2,5,high,low,high,Important development customers
1433.0,21439.7,1368,0,5,4,3,high,high,low,General value customers
1443.0,18773.02,1140,0,5,3,2,high,low,low,General development users
1460.0,16453.04,1811,0,5,5,1,high,high,low,General value customers
1471.0,32839.55,1183,0,5,3,5,high,low,high,Important development customers
1487.0,15946.67,753,3,2,1,1,low,low,low,General recall of customers
1489.0,25771.44,959,0,5,2,4,high,low,high,Important development customers
1490.0,31755.63,1655,0,5,5,5,high,high,high,important value customers
1505.0,16770.62,1096,0,5,3,1,high,low,low,General development users
1507.0,23009.93,1700,0,5,5,4,high,high,high,important value customers
1529.0,17305.16,953,1,4,1,2,low,low,low,General recall of customers
1563.0,19398.02,2015,0,5,5,2,high,high,low,General value customers
1569.0,20296.27,1543,0,5,4,3,high,high,low,General value customers
1572.0,20128.54,1157,0,5,3,3,high,low,low,General development users
