to_randomly_generated_account,frequency,monetary,recency
 ,1,187.0,
1000,19,1416.9,0.0
10000,18,126.5,1.0
100000,26,138.55,5.0
100002,21,106.6,5.0
100019,27,2297.5,0.0
100021,16,88.5,5.0
100023,17,891.5,6.0
100027,13,79.5,1.0
10004,10,61.35,7.0
100053,29,899.8,0.0
100056,17,111.0,0.0
100060,25,146.5,6.0
100064,10,67.0,4.0
100065,13,76.5,9.0
100083,34,197.0,1.0
100086,16,94.0,0.0
100094,8,46.5,0.0
100098,19,93.3,0.0
100105,15,320.95,1.0
100115,23,145.5,5.0
100120,23,158.15,5.0
100126,17,99.95,0.0
10013,19,107.65,0.0
100137,15,91.0,0.0
100138,23,131.2,3.0
100140,19,112.25,2.0
100142,23,146.5,0.0
100144,22,135.5,7.0
100153,19,107.5,5.0
100155,16,93.0,1.0
100159,15,77.1,2.0
100163,10,350.45,12.0
100165,19,147.85,0.0
100166,29,3047.0,0.0
100169,23,203.36,4.0
100171,17,96.0,6.0
100175,34,25599.5,0.0
100186,12,133.46,5.0
100197,37,219.9,4.0
100198,9,57.5,4.0
1002,19,152.6,1.0
10021,11,64.5,6.0
100214,20,122.5,7.0
100217,23,132.0,5.0
100219,15,84.75,2.0
100223,25,1635.49,0.0
100224,24,129.0,0.0
100228,4,21.5,25.0
100233,22,219.64,0.0
100250,13,664.0,5.0
100261,17,98.0,0.0
100264,11,1323.34,0.0
100273,15,83.5,0.0
100274,15,95.0,6.0
100275,21,113.35,2.0
100280,9,93.97999999999999,6.0
100282,5,26.5,1.0
100295,18,117.5,3.0
100297,28,154.45,5.0
10030,21,141.68,0.0
100300,9,56.0,11.0
100301,17,160.97,1.0
100302,14,950.5,6.0
100305,19,110.55,0.0
100324,19,104.0,0.0
100338,12,62.9,6.0
100348,20,120.4,0.0
100368,32,172.7,0.0
100373,16,98.5,0.0
100376,24,1328.7,3.0
100385,14,153.9,1.0
100401,13,79.7,1.0
100420,16,115.5,0.0
100423,22,136.57999999999998,4.0
100445,15,85.5,0.0
100446,13,78.5,6.0
100455,28,177.0,0.0
100466,11,62.55,1.0
100472,16,85.5,2.0
100478,17,108.0,2.0
100480,6,36.0,0.0
100483,14,2628.94,0.0
100488,11,853.0,5.0
100489,11,54.15,5.0
100493,33,209.0,0.0
100517,20,118.2,2.0
100537,18,97.3,4.0
100541,21,193.23000000000002,6.0
100546,23,633.27,0.0
100568,25,139.95,0.0
100569,23,1959.4,0.0
100570,2,15.0,21.0
100572,13,74.65,0.0
100573,14,79.5,5.0
100583,8,48.9,15.0
100593,28,1532.0,3.0
100595,15,92.5,0.0
100599,21,112.4,3.0
1006,9,46.25,3.0
100600,28,173.23,0.0
100608,25,138.8,0.0
100611,7,41.0,0.0
100613,20,693.5300000000001,8.0
100614,22,125.2,3.0
100617,29,170.45,0.0
100618,15,112.73,0.0
10062,20,123.5,5.0
100620,9,49.5,7.0
100621,20,123.8,5.0
100622,39,942.1800000000001,3.0
100625,28,1186.82,3.0
100635,8,50.5,1.0
100636,14,87.5,5.0
100640,21,132.5,5.0
100645,34,803.5,5.0
100656,22,133.95,0.0
100658,24,177.64,5.0
100662,12,65.3,11.0
100664,20,205.02,1.0
100687,14,967.6,0.0
100688,46,1643.84,0.0
100690,17,145.24,0.0
100694,17,141.0,0.0
100703,5,28.0,27.0
100708,30,322.53,0.0
100709,13,89.5,2.0
100727,19,111.6,0.0
100728,22,141.5,0.0
100735,20,127.5,0.0
100736,17,92.15,0.0
100746,16,84.1,7.0
100751,14,89.7,3.0
100752,17,98.5,5.0
100754,16,167.11,3.0
100758,19,740.5,0.0
100766,12,66.0,0.0
100774,3,18.0,0.0
10078,27,1957.4,0.0
100782,22,139.0,0.0
100786,6,41.5,0.0
100788,20,105.95,5.0
100796,7,685.15,6.0
100800,30,1327.84,2.0
100803,12,74.5,1.0
100805,7,44.0,5.0
100817,21,125.4,0.0
100818,28,162.5,0.0
100820,31,1906.95,3.0
100827,6,27.5,6.0
100832,28,1107.5,0.0
100848,17,115.0,1.0
100856,32,212.35,2.0
100859,21,120.3,1.0
100861,21,163.5,6.0
100866,27,174.5,1.0
100873,18,113.49,0.0
100875,19,130.52,6.0
100892,14,75.45,0.0
100897,23,144.8,6.0
100901,10,66.0,0.0
100906,26,166.5,0.0
100909,35,206.85,5.0
10091,15,4706.5,2.0
10092,28,1457.5,0.0
100925,38,1535.0,2.0
100927,7,43.0,0.0
100931,16,86.5,5.0
100934,19,126.15,2.0
100947,27,167.0,0.0
10096,7,77.96000000000001,1.0
100967,31,277.42,5.0
100984,21,2117.5,0.0
100986,24,204.71,1.0
100988,32,181.25,0.0
10099,20,1223.0,2.0
10116,10,65.0,7.0
10126,13,69.55,5.0
10130,15,94.0,2.0
10134,13,83.0,7.0
10140,12,74.3,0.0
10141,16,847.3,0.0
10142,19,110.35,0.0
10145,28,174.1,2.0
10147,5,28.5,8.0
10152,9,45.5,0.0
10156,21,121.72,0.0
10165,14,79.5,7.0
10167,15,77.65,6.0
10169,29,762.94,0.0
10172,19,976.84,5.0
10179,28,163.45,0.0
1018,4,22.5,7.0
10180,18,109.5,0.0
10192,21,143.0,1.0
10197,12,1156.98,12.0
10209,30,2133.24,2.0
10211,31,184.69,0.0
10215,31,1450.9,0.0
1023,19,107.0,2.0
10240,18,104.37,0.0
10253,17,100.0,0.0
10254,26,140.95,0.0
10259,24,159.48,0.0
10266,30,1119.65,0.0
10267,17,98.5,1.0
10280,14,77.0,3.0
10296,25,902.91,1.0
10300,18,104.15,12.0
10302,13,109.73,1.0
10314,12,62.9,5.0
10320,8,62.56,0.0
10356,20,107.35,0.0
10371,7,46.0,6.0
10384,13,77.5,0.0
10386,17,132.72,1.0
10389,20,1075.79,0.0
10394,27,1950.9,0.0
10395,29,3080.55,0.0
10400,17,84.65,5.0
10402,14,85.0,3.0
10410,16,98.5,0.0
10420,18,1074.1599999999999,1.0
10427,14,79.95,3.0
10432,6,40.5,0.0
10436,22,132.0,0.0
10442,17,115.0,5.0
10451,13,83.5,0.0
10454,14,1284.82,2.0
10464,8,56.5,2.0
10466,26,940.45,0.0
10479,13,81.4,2.0
10480,25,148.85,2.0
10485,16,94.0,1.0
10489,32,249.95,0.0
