from_totally_fake_account,Z-score_count,IQR_count,Isolation_Forest_count,Total_anomalies,risk_level
1000,12,88,116,216,medium-low-risk
10000,18,100,130,248,medium-high-risk
100000,24,141,172,337,high-risk
100002,37,157,188,382,high-risk
100019,11,142,165,318,medium-high-risk
100021,0,0,0,0,low-risk
100023,0,0,0,0,low-risk
100027,0,0,0,0,low-risk
10004,28,104,122,254,medium-high-risk
100053,12,120,143,275,medium-high-risk
100056,0,0,0,0,low-risk
100060,38,157,191,386,high-risk
100064,0,0,0,0,low-risk
100065,0,0,0,0,low-risk
100083,0,0,0,0,low-risk
100086,12,125,206,343,high-risk
100094,12,130,165,307,medium-high-risk
100098,12,125,146,283,medium-high-risk
100105,12,170,135,317,medium-high-risk
100115,31,178,256,465,high-risk
100120,12,134,240,386,high-risk
100126,15,151,244,410,high-risk
10013,0,0,0,0,low-risk
100137,12,113,78,203,medium-low-risk
100138,0,0,0,0,low-risk
100140,0,0,0,0,low-risk
100142,0,0,0,0,low-risk
100144,12,135,230,377,high-risk
100153,0,0,0,0,low-risk
100155,30,138,179,347,high-risk
100159,29,195,300,524,high-risk
100163,0,0,0,0,low-risk
100165,0,0,0,0,low-risk
100166,12,104,125,241,medium-low-risk
100169,17,82,146,245,medium-high-risk
100171,12,187,222,421,high-risk
100175,0,0,0,0,low-risk
100186,0,0,0,0,low-risk
100197,22,132,178,332,high-risk
100198,33,176,253,462,high-risk
1002,15,100,148,263,medium-high-risk
10021,29,116,276,421,high-risk
100214,13,132,210,355,high-risk
100217,0,0,0,0,low-risk
100219,0,0,0,0,low-risk
100223,12,156,161,329,medium-high-risk
100224,30,101,163,294,medium-high-risk
100228,0,0,0,0,low-risk
100233,22,119,154,295,medium-high-risk
100250,12,176,205,393,high-risk
100261,0,0,0,0,low-risk
100264,12,100,116,228,medium-low-risk
100273,12,122,147,281,medium-high-risk
100274,0,0,0,0,low-risk
100275,0,0,0,0,low-risk
100280,0,0,0,0,low-risk
100282,49,152,226,427,high-risk
100295,0,0,0,0,low-risk
100297,0,0,0,0,low-risk
10030,0,0,0,0,low-risk
100300,16,67,107,190,medium-low-risk
100301,12,128,165,305,medium-high-risk
100302,0,0,0,0,low-risk
100305,0,0,0,0,low-risk
100324,14,96,153,263,medium-high-risk
100338,12,169,221,402,high-risk
100348,14,140,224,378,high-risk
100368,0,0,0,0,low-risk
100373,0,0,0,0,low-risk
100376,12,151,226,389,high-risk
100384,12,82,95,189,medium-low-risk
100385,17,146,186,349,high-risk
100401,0,0,0,0,low-risk
100420,12,86,126,224,medium-low-risk
100423,17,127,166,310,medium-high-risk
100445,15,78,121,214,medium-low-risk
100446,0,0,0,0,low-risk
100455,0,0,0,0,low-risk
100466,12,310,322,644,high-risk
100472,12,122,204,338,high-risk
100478,25,135,279,439,high-risk
100480,0,0,0,0,low-risk
100483,12,119,109,240,medium-low-risk
100488,0,0,0,0,low-risk
100489,12,127,170,309,medium-high-risk
100493,32,179,254,465,high-risk
100517,0,0,0,0,low-risk
100537,31,143,174,348,high-risk
100541,18,131,179,328,medium-high-risk
100546,0,0,0,0,low-risk
100568,0,0,0,0,low-risk
100569,12,144,160,316,medium-high-risk
100570,0,0,0,0,low-risk
100572,0,0,0,0,low-risk
100573,11,130,136,277,medium-high-risk
100583,27,164,259,450,high-risk
100593,12,162,148,322,medium-high-risk
100595,0,0,0,0,low-risk
100599,0,0,0,0,low-risk
1006,25,171,259,455,high-risk
100600,0,0,0,0,low-risk
100608,12,155,189,356,high-risk
100611,0,0,0,0,low-risk
100613,12,154,193,359,high-risk
100614,30,145,183,358,high-risk
100617,0,0,0,0,low-risk
100618,12,90,132,234,medium-low-risk
10062,15,74,119,208,medium-low-risk
100620,0,0,0,0,low-risk
100621,20,91,122,233,medium-low-risk
100622,0,0,0,0,low-risk
100625,0,0,0,0,low-risk
100635,0,0,0,0,low-risk
100636,12,127,181,320,medium-high-risk
100640,13,164,222,399,high-risk
100645,12,100,142,254,medium-high-risk
100656,12,141,166,319,medium-high-risk
100658,20,125,172,317,medium-high-risk
100662,0,0,0,0,low-risk
100664,0,0,0,0,low-risk
100687,12,104,124,240,medium-low-risk
100688,12,127,170,309,medium-high-risk
100690,24,155,204,383,high-risk
100694,27,156,213,396,high-risk
100703,20,109,222,351,high-risk
100708,0,0,0,0,low-risk
100709,0,0,0,0,low-risk
100727,0,0,0,0,low-risk
100728,0,0,0,0,low-risk
100735,0,0,0,0,low-risk
100736,12,118,158,288,medium-high-risk
100746,0,0,0,0,low-risk
100751,13,138,217,368,high-risk
100752,0,0,0,0,low-risk
100754,0,0,0,0,low-risk
100758,0,0,0,0,low-risk
100766,12,116,146,274,medium-high-risk
100774,0,0,0,0,low-risk
10078,11,82,108,201,medium-low-risk
100782,19,114,152,285,medium-high-risk
100786,0,0,0,0,low-risk
100788,0,0,0,0,low-risk
100796,12,113,154,279,medium-high-risk
100800,12,124,170,306,medium-high-risk
100803,0,0,0,0,low-risk
100805,17,99,150,266,medium-high-risk
100817,0,0,0,0,low-risk
100818,13,141,201,355,high-risk
100820,12,167,186,365,high-risk
100827,26,137,166,329,medium-high-risk
100832,0,0,0,0,low-risk
100848,42,123,206,371,high-risk
100856,0,0,0,0,low-risk
100859,14,109,135,258,medium-high-risk
100861,0,0,0,0,low-risk
100866,18,150,197,365,high-risk
100873,12,141,191,344,high-risk
100875,0,0,0,0,low-risk
100892,0,0,0,0,low-risk
100897,0,0,0,0,low-risk
100901,19,72,151,242,medium-low-risk
100906,23,82,132,237,medium-low-risk
100909,12,87,116,215,medium-low-risk
10091,0,0,0,0,low-risk
10092,12,148,161,321,medium-high-risk
100925,12,82,115,209,medium-low-risk
100927,33,113,151,297,medium-high-risk
100931,19,171,275,465,high-risk
100934,28,123,162,313,medium-high-risk
100947,47,136,197,380,high-risk
10096,0,0,0,0,low-risk
100967,0,0,0,0,low-risk
100984,0,0,0,0,low-risk
100986,34,115,202,351,high-risk
100988,29,129,167,325,medium-high-risk
10099,12,93,138,243,medium-low-risk
10116,0,0,0,0,low-risk
10126,12,100,130,242,medium-low-risk
10130,12,139,74,225,medium-low-risk
10134,39,173,224,436,high-risk
10140,0,0,0,0,low-risk
10141,12,225,158,395,high-risk
10142,0,0,0,0,low-risk
10145,17,100,309,426,high-risk
10147,12,113,126,251,medium-high-risk
10152,0,0,0,0,low-risk
10156,13,124,161,298,medium-high-risk
10165,0,0,0,0,low-risk
10167,0,0,0,0,low-risk
10169,0,0,0,0,low-risk
10172,0,0,0,0,low-risk
10179,21,153,183,357,high-risk
1018,22,74,167,263,medium-high-risk
10180,12,119,167,298,medium-high-risk
10192,0,0,0,0,low-risk
10197,0,0,0,0,low-risk
10209,12,118,154,284,medium-high-risk
10211,0,0,0,0,low-risk
10215,12,100,128,240,medium-low-risk
1023,0,0,0,0,low-risk
10240,0,0,0,0,low-risk
10253,12,151,384,547,high-risk
10254,12,111,194,317,medium-high-risk
10259,35,148,163,346,high-risk
10266,0,0,0,0,low-risk
10267,0,0,0,0,low-risk
10280,31,99,126,256,medium-high-risk
10296,0,0,0,0,low-risk
10300,15,138,188,341,high-risk
10302,0,0,0,0,low-risk
10314,26,139,188,353,high-risk
10320,18,121,166,305,medium-high-risk
10356,13,156,326,495,high-risk
10371,12,124,168,304,medium-high-risk
10384,0,0,0,0,low-risk
10386,25,94,131,250,medium-high-risk
10389,0,0,0,0,low-risk
10394,0,0,0,0,low-risk
10395,0,0,0,0,low-risk
10400,0,0,0,0,low-risk
10402,32,145,279,456,high-risk
10410,12,99,181,292,medium-high-risk
10420,0,0,0,0,low-risk
10427,0,0,0,0,low-risk
10432,16,161,208,385,high-risk
10436,0,0,0,0,low-risk
10442,13,101,137,251,medium-high-risk
10451,12,109,183,304,medium-high-risk
10454,12,107,170,289,medium-high-risk
10464,14,90,118,222,medium-low-risk
10466,0,0,0,0,low-risk
10479,16,145,186,347,high-risk
10480,0,0,0,0,low-risk
10485,15,172,368,555,high-risk
10489,0,0,0,0,low-risk
10500,0,0,0,0,low-risk
10501,0,0,0,0,low-risk
10505,0,0,0,0,low-risk
10514,26,140,193,359,high-risk
10515,0,0,0,0,low-risk
10520,14,126,233,373,high-risk
10521,12,96,120,228,medium-low-risk
10525,0,0,0,0,low-risk
10526,0,0,0,0,low-risk
1053,23,121,166,310,medium-high-risk
10534,0,0,0,0,low-risk
10538,26,148,173,347,high-risk
10548,0,0,0,0,low-risk
1055,0,0,0,0,low-risk
10571,0,0,0,0,low-risk
10572,12,109,150,271,medium-high-risk
10581,12,237,202,451,high-risk
10586,12,98,142,252,medium-high-risk
1059,12,124,181,317,medium-high-risk
10592,27,117,165,309,medium-high-risk
10596,0,0,0,0,low-risk
10605,12,88,107,207,medium-low-risk
10606,12,129,172,313,medium-high-risk
10607,0,0,0,0,low-risk
1062,0,0,0,0,low-risk
10634,17,115,166,298,medium-high-risk
10636,28,110,173,311,medium-high-risk
10637,0,0,0,0,low-risk
10638,0,0,0,0,low-risk
1064,0,0,0,0,low-risk
10641,12,104,136,252,medium-high-risk
