account,transaction,income_count,expense_count,anomaly
10371,-2392.110000000002,0,180,1
88339,-2839.14,0,161,1
40544,113.8,21,0,1
18555,-2436.090000000001,0,230,1
85149,148.9,26,0,1
80792,-3416.9800000000005,0,110,1
18555,111.15,21,0,1
41378,-1218.2900000000004,0,83,1
4428,-1719.7900000000004,0,106,1
77222,-1433.48,0,127,1
39262,-1406.2000000000016,0,164,1
30264,73.4,13,0,1
5514,-1727.2000000000014,0,204,1
16751,-1693.2000000000012,0,170,1
72112,-3070.3300000000004,0,108,1
98064,-1924.320000000002,0,177,1
59905,-1752.6300000000006,0,160,1
72272,-2108.0300000000007,0,137,1
23972,-2527.9700000000003,0,82,1
82454,-1771.530000000002,0,190,1
16801,-1426.0700000000004,0,116,1
82454,139.05,24,0,1
70075,-2673.0199999999995,0,120,1
85378,-2356.360000000002,0,156,1
2390,-2173.2100000000028,0,191,1
97770,124.85,20,0,1
16187,-1758.6100000000022,0,174,1
60261,-2089.01,0,135,1
16339,-2175.880000000001,0,99,1
60261,109.2,21,0,1
46376,-2274.8300000000013,0,112,1
64923,-1146.83,0,95,1
71037,-2182.64,0,121,1
46853,-2151.0100000000025,0,176,1
34142,-2526.34,0,67,1
44432,-2236.880000000001,0,225,1
77763,-1817.2400000000005,0,125,1
52587,-3025.080000000001,0,128,1
29259,-1997.970000000001,0,123,1
13927,-1167.5299999999995,0,106,1
23958,-2172.950000000001,0,116,1
35965,43.05,9,0,1
22814,-2200.690000000002,0,174,1
13054,-2263.21,0,142,1
68780,-2065.790000000001,0,151,1
14101,-2014.1100000000008,0,127,1
78652,-1800.6300000000017,0,172,1
8197,-2464.85,0,125,1
71642,-2039.45,0,97,1
69266,-2168.150000000003,0,181,1
71642,53.0,10,0,1
35212,-2491.0100000000016,0,153,1
20076,-2311.15,0,148,1
46330,84.45,17,0,1
71899,-1929.0800000000013,0,141,1
11762,-2141.6500000000005,0,164,1
92552,-1818.4200000000003,0,94,1
19245,-2725.93,0,185,1
37913,-1435.2200000000005,0,96,1
37913,178.5,29,0,1
62989,-1945.1500000000003,0,104,1
88637,-2309.34,0,131,1
86355,-1667.2900000000009,0,107,1
40207,-1631.3600000000006,0,101,1
96671,-2665.0600000000004,0,136,1
30179,-2353.45,0,134,1
39111,-1927.4300000000007,0,150,1
63779,-1593.1500000000003,0,115,1
9323,-2499.7100000000005,0,85,1
81220,-3048.87,0,117,1
9323,13.45,3,0,1
26316,-2595.22,0,98,1
5347,-2789.28,0,120,1
92185,-1521.0200000000004,0,112,1
7170,-1835.0300000000004,0,138,1
49505,-2138.2899999999995,0,147,1
97171,-1576.01,0,113,1
40054,-2006.1200000000008,0,115,1
97171,103.75,19,0,1
76258,-1832.0800000000008,0,135,1
63924,-1759.7499999999998,0,81,1
40054,193.15,32,0,1
5164,-3116.6800000000007,0,110,1
14894,-3298.3300000000013,0,95,1
25778,-2457.100000000001,0,93,1
87528,-2394.1600000000003,0,125,1
90218,-2094.8600000000006,0,87,1
1828,-2178.7700000000013,0,130,1
62065,-2373.45,0,86,1
89210,-3554.17,0,118,1
69941,-2064.44,0,184,1
48233,-1296.33,0,94,1
94622,137.0,23,0,1
16249,-1435.290000000001,0,195,1
75715,-3291.0600000000027,0,190,1
20575,-2409.6600000000003,0,156,1
85529,-1800.63,0,125,1
26695,109.5,17,0,1
59294,-2431.4500000000003,0,144,1
32521,-2343.84,0,187,1
35709,-2475.0600000000013,0,172,1
82519,-3538.48,0,115,1
86899,-2149.480000000001,0,196,1
94388,-1461.6400000000006,0,140,1
86899,157.4,26,0,1
89061,-1795.5300000000009,0,152,1
99102,-2331.2000000000007,0,122,1
22141,-2404.180000000001,0,127,1
99102,157.48000000000002,24,0,1
62907,-2796.9700000000003,0,111,1
44974,-2148.140000000001,0,140,1
23613,-4491.530000000001,0,105,1
35709,170.8,31,0,1
25630,-1539.4500000000016,0,190,1
96941,-1863.750000000001,0,123,1
1730,-1562.9900000000007,0,165,1
79518,-1641.780000000001,0,189,1
47645,-2237.560000000001,0,109,1
68657,-5184.909999999999,0,95,1
88448,-1794.8600000000006,0,128,1
60284,-2326.7100000000014,0,209,1
11202,-1398.4000000000017,0,196,1
76002,-1752.8200000000002,0,159,1
43870,-2356.210000000002,0,191,1
30041,-1986.5700000000008,0,116,1
65883,-1440.14,0,80,1
68078,-1577.020000000001,0,163,1
65883,120.15,22,0,1
5174,-1881.1700000000012,0,159,1
44380,-2177.12,0,167,1
25807,-2103.05,0,138,1
63478,-1229.9499999999998,0,97,1
25807,139.75,23,0,1
11988,-1267.2100000000005,0,136,1
75661,-1800.430000000002,0,175,1
54117,-1881.38,0,122,1
62387,-1681.4300000000003,0,147,1
55042,-1919.4300000000007,0,111,1
23486,-2168.6800000000003,0,118,1
13219,-2269.810000000002,0,195,1
36833,-1881.1800000000003,0,108,1
37223,-2155.610000000001,0,135,1
44133,-1856.6100000000024,0,186,1
97670,-1357.3699999999997,0,112,1
99691,-2126.580000000001,0,149,1
48465,-1953.460000000001,0,171,1
95294,-1632.910000000002,0,173,1
84041,-1963.8300000000024,0,204,1
11494,-1936.03,0,129,1
79769,-2248.980000000001,0,128,1
29810,-2120.32,0,131,1
84579,-2264.690000000002,0,214,1
16155,-1999.2300000000012,0,171,1
39252,-1753.87,0,83,1
16155,61.2,11,0,1
16779,-1968.6400000000008,0,160,1
35034,-3167.2,0,128,1
55699,-2369.2600000000007,0,185,1
51810,-2202.1800000000003,0,129,1
47961,-2151.1200000000026,0,194,1
76810,210.39,29,0,1
46740,-2850.040000000002,0,122,1
98225,-1653.0400000000031,0,162,1
11171,-2142.1400000000017,0,212,1
61950,-2620.9700000000003,0,115,1
81366,198.01,35,0,1
35013,-1900.050000000001,0,178,1
51087,-1584.5300000000004,0,149,1
83457,-2368.6900000000005,0,107,1
7472,-3020.260000000001,0,179,1
87814,-1518.1800000000003,0,103,1
45355,-1488.3300000000008,0,119,1
88707,-1471.33,0,106,1
23700,-2369.42,0,105,1
79304,-2585.24,0,109,1
35781,-2766.35,0,150,1
50477,-1383.4800000000005,0,122,1
93167,-1307.8700000000008,0,117,1
78828,-1577.34,0,105,1
40926,-1668.9200000000003,0,115,1
11813,-1528.02,0,115,1
16475,-1900.82,0,124,1
19800,81.15,15,0,1
56384,-2579.9200000000005,0,97,1
48479,-1778.4000000000003,0,197,1
100934,-2216.51,0,126,1
48200,-2443.040000000001,0,154,1
20840,-2427.610000000001,0,132,1
48200,75.35000000000001,15,0,1
48764,-1817.770000000001,0,123,1
39218,-1925.19,0,116,1
88863,-2704.790000000002,0,170,1
38214,-1728.9000000000008,0,183,1
51162,-2785.32,0,95,1
23428,-1691.9800000000005,0,110,1
44472,-2512.2800000000007,0,92,1
8982,-2305.9300000000007,0,88,1
51162,94.07,12,0,1
32075,-1838.6700000000003,0,131,1
73526,-2044.7200000000016,0,188,1
45712,-2417.809999999999,0,111,1
31817,-2430.61,0,124,1
50618,-2172.630000000001,0,146,1
72587,-2044.1700000000003,0,87,1
88786,98.9,16,0,1
50706,-2764.970000000001,0,156,1
65913,-1821.2000000000005,0,128,1
49386,-3053.000000000002,0,137,1
22204,95.0,15,0,1
58427,-2284.4500000000003,0,151,1
43489,-1954.3700000000003,0,107,1
44768,-1592.7600000000002,0,124,1
23637,-1878.6600000000003,0,149,1
59298,-1552.3700000000006,0,107,1
30760,-2880.1900000000023,0,191,1
77380,-2557.1700000000005,0,222,1
5261,-1725.4899999999998,0,105,1
63045,-3077.4099999999994,0,163,1
57888,-1623.7500000000002,0,93,1
5261,144.2,26,0,1
65197,-1592.1700000000008,0,173,1
79518,74.55,12,0,1
87330,-1464.0600000000006,0,115,1
57888,99.9,18,0,1
16615,-1329.98,0,72,1
23909,-1606.6600000000008,0,104,1
53494,-2376.790000000002,0,174,1
57433,-2126.6800000000017,0,180,1
56327,-1287.2300000000005,0,112,1
39027,-2313.639999999999,0,114,1
17608,-2299.2200000000007,0,209,1
17411,126.5,24,0,1
72248,-2897.38,0,104,1
13226,-1523.54,0,100,1
1018,-1428.1900000000005,0,90,1
41000,-1549.5300000000002,0,116,1
45331,-2546.100000000001,0,236,1
98238,-2141.6000000000017,0,172,1
63615,-2023.66,0,152,1
94157,-2125.420000000001,0,108,1
11431,109.4,19,0,1
23047,-3736.27,0,97,1
15896,-2739.2999999999997,0,190,1
23727,-2459.9900000000034,0,261,1
25253,-2085.5300000000025,0,166,1
50481,-1278.4300000000003,0,165,1
94358,-2025.4600000000005,0,163,1
49782,-2135.9,0,114,1
54397,-1684.7200000000014,0,172,1
34969,-1299.9700000000005,0,84,1
1931,-1614.720000000001,0,173,1
100690,-2013.8100000000024,0,209,1
68580,-1893.300000000001,0,131,1
35158,-2373.600000000001,0,100,1
33284,-2820.38,0,154,1
