account,transaction,income_count,expense_count
10371,-2392.110000000002,0,180
CINEMA,42015.0,6556,0
88339,-2839.14,0,161
40544,113.80000000000001,21,0
18555,-2436.090000000001,0,230
85149,148.9,26,0
HIPSTER_COFFEE_SHOP,59570.85000000573,24738,0
80792,-3416.9800000000005,0,110
18555,111.15,21,0
TOTALLY_A_REAL_COFFEE_SHOP,122503.2499999428,50909,0
COFFEE_SHOP,122548.3999999428,50879,0
CAFE,51334.0,11655,0
41378,-1218.2900000000004,0,83
4428,-1719.7900000000004,0,106
A_CAFE,122012.44999994423,50672,0
77222,-1433.48,0,127
LOCAL_RESTAURANT,268967.2200000004,17747,0
39262,-1406.2000000000016,0,164
30264,73.4,13,0
5514,-1727.2000000000014,0,204
A_LOCAL_COFFEE_SHOP,121147.94999994493,50426,0
16751,-1693.2000000000012,0,170
72112,-3070.3300000000004,0,108
98064,-1924.320000000002,0,177
GOURMET_COFFEE_SHOP,60255.15000000534,24902,0
59905,-1752.6300000000006,0,160
LOCAL_WATERING_HOLE,726469.0,66550,0
72272,-2108.0300000000007,0,137
23972,-2527.9700000000003,0,82
SANDWICH_SHOP,50554.5,11517,0
TOY_SHOP,89926.0,1578,0
82454,-1771.530000000002,0,190
PRETENTIOUS_COFFEE_SHOP,59447.80000000549,24563,0
BAR,874346.0,79710,0
16801,-1426.0700000000004,0,116
82454,139.05,24,0
70075,-2673.0199999999995,0,120
85378,-2356.360000000002,0,156
2390,-2173.2100000000028,0,191
97770,124.85000000000001,20,0
16187,-1758.6100000000022,0,174
60261,-2089.0099999999998,0,135
PUB,1100401.8799999985,86151,0
16339,-2175.8800000000006,0,99
60261,109.2,21,0
COMIC_BOOK_SHOP,25670.0,2446,0
46376,-2274.8300000000013,0,112
LUNCH_VAN,50827.0,11552,0
64923,-1146.83,0,95
71037,-2182.64,0,121
46853,-2151.0100000000025,0,176
34142,-2526.3399999999997,0,67
DEPARTMENT_STORE,285761.0,2465,0
44432,-2236.8800000000015,0,225
KEBAB_SHOP,51919.0,11792,0
77763,-1817.2400000000005,0,125
52587,-3025.080000000001,0,128
29259,-1997.970000000001,0,123
13927,-1167.5299999999997,0,106
23958,-2172.950000000001,0,116
35965,43.05,9,0
22814,-2200.690000000002,0,174
13054,-2263.21,0,142
68780,-2065.790000000001,0,151
14101,-2014.1100000000006,0,127
78652,-1800.6300000000017,0,172
